Домен;Услуга;Январь 2021 г.;Февраль 2021 г.;Март 2021 г.;Апрель 2021 г.;Май 2021 г.;Июнь 2021 г.;Июль 2021 г.;Август 2021 г.;Сентябрь 2021 г.;Октябрь 2021 г.;Ноябрь 2021 г.;Декабрь 2021 г.;Январь 2022 г.;Февраль 2022 г.;Март 2022 г.;Апрель 2022 г.;Январь 2021 г.;Февраль 2021 г.;Март 2021 г.;Апрель 2021 г.;Май 2021 г.;Июнь 2021 г.;Июль 2021 г.;Август 2021 г.;Сентябрь 2021 г.;Октябрь 2021 г.;Ноябрь 2021 г.;Декабрь 2021 г.;Январь 2022 г.;Февраль 2022 г.;Март 2022 г.;Апрель 2022 г.;-;-;Январь 2021 г. - Февраль 2021 г.;Amount;Февраль 2021 г. - Март 2021 г.;Amount;Март 2021 г. - Апрель 2021 г.;Amount;Апрель 2021 г. - Май 2021 г.;Amount;Май 2021 г. - Июнь 2021 г.;Amount;Июнь 2021 г. - Июль 2021 г.;Amount;Июль 2021 г. - Август 2021 г.;Amount;Август 2021 г. - Сентябрь 2021 г.;Amount;Сентябрь 2021 г. - Октябрь 2021 г.;Amount;Октябрь 2021 г. - Ноябрь 2021 г.;Amount;Ноябрь 2021 г. - Декабрь 2021 г.;Amount;Декабрь 2021 г. - Январь 2022 г.;Amount;Январь 2022 г. - Февраль 2022 г.;Amount;Февраль 2022 г. - Март 2022 г.;Amount;Март 2022 г. - Апрель 2022 г.;Amount
robokassa.ru1;ESP;;17500.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;;;-157500.0;;;;;;;Fix;Fix;Fix;Fix;Fix;Fix;Fix;;;Fix;;;;;;No Changes;-;New Client;17500.0;Raise Fix;17500.0;No Changes;0.0;No Changes;0.0;No Changes;0.0;No Changes;0.0;No Changes;0.0;Churn Client;-35000.0;No Changes;0;Client Return;-157500.0;Churn Client;157500.0;No Changes;0;No Changes;0;No Changes;0;No Changes;0
robokassa.ru1;Triggers;;5000.0;10000.0;;;10000.0;10000.0;10000.0;;;-45000.0;;;;;;;Fix;Fix;;;Fix;Fix;Fix;;;Fix;;;;;;No Changes;-;New Client;5000.0;Raise Fix;5000.0;Churn Service;-10000.0;No Changes;0;Service Return;10000.0;No Changes;0.0;No Changes;0.0;Churn Client;-10000.0;No Changes;0;Client Return;-45000.0;Churn Client;45000.0;No Changes;0;No Changes;0;No Changes;0;No Changes;0
robokassa.ru1;Push;;;;;;5000;5000;5000;;;-22500;;;;;;;;;;;Fix;Fix;Fix;;;Fix;;;;;;No Changes;-;No Changes;0;No Changes;0;No Changes;0;No Changes;0;New Service;5000;No Changes;0;No Changes;0;Churn Client;-5000;No Changes;0;Client Return;-22500;Churn Client;22500;No Changes;0;No Changes;0;No Changes;0;No Changes;0
